unit,vehicle,serial_no,description,axle_position,measure_date,pan_size,since
221133,60783,B2431.39,POWERED WHEELSET HVP A/B/C (ROT),2,26/05/2017,860.5,119424
221133,60783,B6651.79,POWERED WHEELSET HVP A/B/C (ROT),3,26/05/2017,860.5,120230
221129,60479,B2431.13,POWERED WHEELSET HVP A/B/C (ROT),3,13/06/2017,817.53,756649
220023,60223,M66000026,POWER WHEELSET B5005  (ROT),2,23/10/2017,780.57,19311
221102,60452,B1722.29,POWERED WHEELSET HVP A/B/C (ROT),2,23/10/2017,860.44,913798
221102,60452,B6651.77,POWERED WHEELSET HVP A/B/C (ROT),3,23/10/2017,860.56,16543
221106,60456,B2431.65,POWERED WHEELSET HVP A/B/C (ROT),2,23/10/2017,860.45,17712
221106,60456,B3144.15,POWERED WHEELSET HVP A/B/C (ROT),3,23/10/2017,860.45,17712
221142,60492,M66020032,POWERED WHEELSET HVP A/B/C (ROT),2,04/12/2016,839,479104
221119,60369,M66020073,POWERED WHEELSET HVP A/B/C (ROT),2,20/01/2017,860.58,1038828
220009,60409,M66000250R,POWER WHEELSET B5005  (ROT),2,16/06/2017,780.7,950537
221123,60873,M66040201,TRAILING WHEELSET HVP A/B/C (ROT),1,16/06/2017,860.72,112923
221123,60873,B4568.49,TRAILING WHEELSET HVP A/B/C (ROT),4,16/06/2017,860.46,112923
221103,60453,M66020030,POWERED WHEELSET HVP A/B/C (ROT),2,27/08/2017,842.18,582991
220028,60228,M66000178R,POWER WHEELSET B5005  (ROT),2,15/09/2017,780.63,0
221137,60887,B2431.47,POWERED WHEELSET HVP A/B/C (ROT),2,15/09/2017,860,41335
221137,60887,M66020122,POWERED WHEELSET HVP A/B/C (ROT),3,15/09/2017,860.3,41335
221117,60967,M66020069,POWERED WHEELSET HVP A/B/C (ROT),3,26/04/2016,820.86,1054402
221126,60476,B5373.8,POWERED WHEELSET HVP A/B/C (ROT),2,14/10/2017,805.27,1140531
220012,60212,M66060137,TRAILING WHEELSET B5005 A/B (ROT),4,07/06/2017,780.46,124654
220019,60419,M66060188G,TRAILING LGUARDWHEELSET B5005  (ROT),1,07/06/2017,780.45,126743
221103,60353,B4543.11,POWERED WHEELSET HVP A/B/C (ROT),3,07/06/2017,860.54,129377
221117,60767,B6053.10,POWERED WHEELSET HVP A/B/C (ROT),2,07/06/2017,860.5,131466
221117,60767,B3144.18,POWERED WHEELSET HVP A/B/C (ROT),3,07/06/2017,860.47,131466
221120,60870,M66020063,POWERED WHEELSET HVP A/B/C (ROT),2,07/06/2017,860.4,1249357
221131,60881,B1722.30,POWERED WHEELSET HVP A/B/C (ROT),3,07/06/2017,860.74,113953
221108,60358,B8314.9,POWERED WHEELSET HVP A/B/C (ROT),3,16/04/2017,844.99,497909
221113,60363,B7635.2,POWERED WHEELSET HVP A/B/C (ROT),2,16/05/2017,809.52,1108002
221127,60977,B5373.31,POWERED WHEELSET HVP A/B/C (ROT),3,20/07/2017,838.43,624866
221108,60458,B2431.46,POWERED WHEELSET HVP A/B/C (ROT),2,11/01/2017,810.33,1307621
220002,60302,M66000328RG,POWER SANDER WHEELSET B5005  (ROT),3,30/05/2017,780.5,127228
220007,60207,M66000289RG,POWER WHEELSET B5005  (ROT),3,30/05/2017,780.63,123200
220011,60711,M66000327RG,POWER WHEELSET B5005  (ROT),2,30/05/2017,780.52,127829
220011,60711,M66000240,POWER WHEELSET B5005  (ROT),3,30/05/2017,780.62,994984
221110,60960,M66020054,POWERED WHEELSET HVP A/B/C (ROT),2,30/05/2017,860.51,111910
221121,60871,B6651.65,POWERED WHEELSET HVP A/B/C (ROT),2,14/03/2017,830.09,827741
221106,60856,B5373.24,POWERED WHEELSET HVP A/B/C (ROT),2,18/10/2017,837.03,1342478
221131,60481,M66020100,POWERED WHEELSET HVP A/B/C (ROT),2,23/10/2017,817.71,427345
221113,60363,B7635.4,POWERED WHEELSET HVP A/B/C (ROT),3,06/11/2016,816.32,1287364
221107,60957,M66020108,POWERED WHEELSET HVP A/B/C (ROT),3,08/09/2017,849.06,205658
221126,60876,B3857.16,POWERED WHEELSET HVP A/B/C (ROT),2,10/07/2017,860.6,88206
221126,60876,B6651.32,POWERED WHEELSET HVP A/B/C (ROT),3,10/07/2017,860.7,88206
221140,60890,B6651.54,POWERED WHEELSET HVP A/B/C (ROT),2,10/07/2017,860.76,87394
221140,60890,B4543.24,POWERED WHEELSET HVP A/B/C (ROT),3,10/07/2017,860.65,87394
221128,60878,B7635.20,POWERED WHEELSET HVP A/B/C (ROT),3,19/06/2017,818.34,1304418
221142,60992,B6651.11,POWERED WHEELSET HVP A/B/C (ROT),2,25/09/2017,822.88,1173002
221128,60978,B3144.28,POWERED WHEELSET HVP A/B/C (ROT),3,28/05/2017,816.96,1309198
220029,60329,M66060231G,TRAILING LGUARDWHEELSET B5005  (ROT),1,15/05/2017,780.57,141348
220032,60232,M66000323RG,POWER WHEELSET B5005  (ROT),2,15/05/2017,780.65,131640
220032,60232,M66000322RG,POWER WHEELSET B5005  (ROT),3,15/05/2017,780.54,131640
221111,60761,B6053.51,POWERED WHEELSET HVP A/B/C (ROT),2,15/05/2017,860.7,1090881
221111,60761,B3144.33,POWERED WHEELSET HVP A/B/C (ROT),3,15/05/2017,860.09,145794
221111,60761,M66040082,TRAILING WHEELSET HVP A/B/C (ROT),1,15/05/2017,860.48,145794
221127,60477,B7635.16,POWERED WHEELSET HVP A/B/C (ROT),2,15/05/2017,860.74,1229515
221127,60477,B3857.54,POWERED WHEELSET HVP A/B/C (ROT),3,15/05/2017,860.86,140668
221117,60967,B5373.21,POWERED WHEELSET HVP A/B/C (ROT),2,13/03/2017,816.79,1129240
221131,60781,B5373.25,POWERED WHEELSET HVP A/B/C (ROT),3,08/06/2017,836.27,865898
221117,60467,B1722.43,POWERED WHEELSET HVP A/B/C (ROT),2,30/09/2017,852.07,273623
221117,60467,B6053.3,POWERED WHEELSET HVP A/B/C (ROT),3,30/09/2017,852.67,273623
221117,60467,M66040273,TRAILING WHEELSET HVP A/B/C (ROT),4,30/09/2017,823.89,273623
221117,60767,M66040312,TRAILING WHEELSET HVP A/B/C (ROT),1,30/09/2017,853.07,273623
221114,60364,B3589.9,TRAILING WHEELSET HVP A/B/C (ROT),1,27/10/2017,860.53,10666
221122,60772,B1138.65,TRAILING WHEELSET HVP A/B/C (ROT),4,27/10/2017,860.3,6852
221131,60981,B6053.27,POWERED WHEELSET HVP A/B/C (ROT),2,27/10/2017,860.32,12821
221131,60981,B3857.40,POWERED WHEELSET HVP A/B/C (ROT),3,27/10/2017,860.46,12821
220003,60703,M66000204R,POWER WHEELSET B5005  (ROT),3,07/08/2017,780.69,70225
220008,60308,E9379.59,TRAILING WHEELSET B5005 A/B (ROT),4,07/08/2017,780.6,64780
220022,60422,M66000341RG,POWER WHEELSET B5005  (ROT),2,07/08/2017,780.62,71014
220022,60422,M66000168R,POWER SANDER WHEELSET B5005  (ROT),3,07/08/2017,780.58,71014
221122,60772,B6053.29,POWERED WHEELSET HVP A/B/C (ROT),3,07/08/2017,860.05,64239
220015,60315,M66000343RG,POWER WHEELSET B5005  (ROT),2,08/09/2017,780.56,51571
220030,60330,M66060069,TRAILING LGUARDWHEELSET B5005  (ROT),1,08/09/2017,780.66,51703
221107,60357,M66040330,TRAILING WHEELSET HVP A/B/C (ROT),1,08/09/2017,860.65,51810
221107,60357,B7650.66,TRAILING WHEELSET HVP A/B/C (ROT),4,08/09/2017,860.53,51810
221117,60867,M66020075,POWERED WHEELSET HVP A/B/C (ROT),3,08/09/2017,860.53,53437
221143,60994,B1722.18,POWERED WHEELSET HVP A/B/C (ROT),2,08/09/2017,860.7,52442
221143,60994,B4543.17,POWERED WHEELSET HVP A/B/C (ROT),3,08/09/2017,860.33,52442
220022,60722,M66000331RG,POWER WHEELSET B5005  (ROT),3,19/06/2017,780.55,114153
220026,60426,M66000221R,POWER WHEELSET B5005  (ROT),2,19/06/2017,780.56,1091064
220026,60426,M66000252R,POWER SANDER WHEELSET B5005  (ROT),3,19/06/2017,780.57,950864
220031,60431,M66060241G,TRAILING WHEELSET B5005 A/B (ROT),4,19/06/2017,780.62,85163
221141,60491,B9686.12,POWERED WHEELSET HVP A/B/C (ROT),2,19/06/2017,860.6,104430
220007,60707,E9379.45,TRAILING WHEELSET B5005 A/B (ROT),4,12/05/2017,780.6,132455
220034,60734,M66000200R,POWER WHEELSET B5005  (ROT),2,12/05/2017,780.6,140479
221137,60487,B6053.70,POWERED WHEELSET HVP A/B/C (ROT),3,12/05/2017,860.34,135976
221137,60487,B6372.15,TRAILING WHEELSET HVP A/B/C (ROT),1,12/05/2017,860.68,134397
221103,60353,B5373.29,POWERED WHEELSET HVP A/B/C (ROT),2,09/06/2017,860.52,127679
221102,60852,B2431.78,POWERED WHEELSET HVP A/B/C (ROT),3,30/07/2017,853,342110
221124,60874,M66020022,POWERED WHEELSET HVP A/B/C (ROT),2,06/01/2017,860.52,223997
220033,60333,E1373.03,TRAILING LGUARDWHEELSET B5005  (ROT),1,28/07/2017,780.62,85301
221112,60962,M66020034,POWERED WHEELSET HVP A/B/C (ROT),2,28/07/2017,860.73,1157903
221112,60962,B4543.19,POWERED WHEELSET HVP A/B/C (ROT),3,28/07/2017,860.64,78902
221129,60779,M66020119,POWERED WHEELSET HVP A/B/C (ROT),3,28/07/2017,860.8,67581
221119,60769,M66020077,POWERED WHEELSET HVP A/B/C (ROT),3,26/02/2017,809.61,1079163
221144,60394,B6053.4,POWERED WHEELSET HVP A/B/C (ROT),3,06/05/2017,840.47,568741
221121,60471,B2431.84,POWERED WHEELSET HVP A/B/C (ROT),3,01/09/2017,860.63,48001
221124,60374,M66040329,TRAILING WHEELSET HVP A/B/C (ROT),4,01/09/2017,859.09,47438
221126,60976,M66040109,TRAILING WHEELSET HVP A/B/C (ROT),1,01/09/2017,860.49,49898
221132,60882,B3857.17,POWERED WHEELSET HVP A/B/C (ROT),2,01/09/2017,860.33,50384
220004,60304,M66060130,TRAILING LGUARDWHEELSET B5005  (ROT),1,28/04/2017,780.5,106228
220025,60725,M66060123,TRAILING WHEELSET B5005 A/B (ROT),1,28/04/2017,780.6,143818
221101,60451,B3857.26,POWERED WHEELSET HVP A/B/C (ROT),2,28/04/2017,860.73,140452
221101,60451,B5373.23,POWERED WHEELSET HVP A/B/C (ROT),3,28/04/2017,860.33,140452
221117,60967,B1138.88,TRAILING WHEELSET HVP A/B/C (ROT),4,28/04/2017,860.73,162971
221140,60490,B2431.71,POWERED WHEELSET HVP A/B/C (ROT),2,28/04/2017,860.43,140206
221143,60993,M66020005,POWERED WHEELSET HVP A/B/C (ROT),2,26/09/2016,814.49,1335980
220004,60204,M66060250G,TRAILING WHEELSET B5005 A/B (ROT),4,03/11/2017,780.63,3745
220010,60210,M66000181R,POWER WHEELSET B5005  (ROT),2,03/11/2017,780.62,8166
220010,60210,M66000195R,POWER WHEELSET B5005  (ROT),3,03/11/2017,780.3,8166
221103,60453,M66040333,TRAILING WHEELSET HVP A/B/C (ROT),1,03/11/2017,860.43,0
221132,60782,M66020052,POWERED WHEELSET HVP A/B/C (ROT),3,03/11/2017,860.42,7279
221138,60488,B4568.39,TRAILING WHEELSET HVP A/B/C (ROT),1,03/11/2017,860.53,0
221138,60388,B1722.42,POWERED WHEELSET HVP A/B/C (ROT),3,17/11/2016,821.13,870519
221119,60469,B3857.41,POWERED WHEELSET HVP A/B/C (ROT),3,27/02/2017,860.65,179210
220022,60322,M66000160R,POWER WHEELSET B5005  (ROT),2,03/04/2017,780.59,175880
221118,60368,B6053.76,POWERED WHEELSET HVP A/B/C (ROT),2,03/04/2017,860.47,180016
221137,60787,B6651.14,POWERED WHEELSET HVP A/B/C (ROT),2,03/04/2017,860.35,165885
221119,60769,M66020033,POWERED WHEELSET HVP A/B/C (ROT),2,26/02/2017,809.63,1079163
221116,60966,B2431.77,POWERED WHEELSET HVP A/B/C (ROT),3,29/10/2016,816.32,1271606
221130,60980,M66020090,POWERED WHEELSET HVP A/B/C (ROT),3,14/02/2017,833.78,591758
220010,60310,M66060132,TRAILING LGUARDWHEELSET B5005  (ROT),1,17/07/2017,780.7,89605
220018,60218,M66060127,TRAILING WHEELSET B5005 A/B (ROT),4,17/07/2017,780.57,97397
220024,60424,M66060101,TRAILING LGUARDWHEELSET B5005  (ROT),1,17/07/2017,780.7,86238
220027,60427,M66060066,TRAILING LGUARDWHEELSET B5005  (ROT),1,17/07/2017,780.8,65958
221107,60857,B3144.16,POWERED WHEELSET HVP A/B/C (ROT),2,17/07/2017,860.65,78975
221115,60965,M66040227,TRAILING WHEELSET HVP A/B/C (ROT),1,17/07/2017,860.7,94892
221126,60776,M66040327,TRAILING WHEELSET HVP A/B/C (ROT),1,17/07/2017,860.72,86596
221127,60777,M66040328,TRAILING WHEELSET HVP A/B/C (ROT),4,17/07/2017,860.68,90820
221130,60880,B2431.61,POWERED WHEELSET HVP A/B/C (ROT),2,17/07/2017,860.68,87470
221142,60392,B1722.40,POWERED WHEELSET HVP A/B/C (ROT),2,17/07/2017,860.65,93266
221142,60392,B2431.34,POWERED WHEELSET HVP A/B/C (ROT),3,17/07/2017,860.57,93266
220006,60306,M66060151,TRAILING WHEELSET B5005 A/B (ROT),4,26/06/2017,780.52,90355
220024,60224,M66000152R,POWER WHEELSET B5005  (ROT),2,26/06/2017,780.62,105315
220027,60427,M66060239G,TRAILING WHEELSET B5005 A/B (ROT),4,26/06/2017,780.76,85996
221110,60860,B6651.74,POWERED WHEELSET HVP A/B/C (ROT),2,26/06/2017,860.62,111910
221110,60860,B8314.65,POWERED WHEELSET HVP A/B/C (ROT),3,26/06/2017,860.47,111910
221119,60369,M66040326,TRAILING WHEELSET HVP A/B/C (ROT),4,26/06/2017,860.58,102641
221108,60858,M66020020,POWERED WHEELSET HVP A/B/C (ROT),2,09/10/2017,852.16,243985
221110,60960,B6651.25,POWERED WHEELSET HVP A/B/C (ROT),3,09/06/2017,860.56,1060016
221121,60871,B6651.72,POWERED WHEELSET HVP A/B/C (ROT),3,14/03/2017,828.89,827741
221115,60865,M66020012,POWERED WHEELSET HVP A/B/C (ROT),2,18/06/2017,821.33,868629
221112,60462,B6651.78,POWERED WHEELSET HVP A/B/C (ROT),3,16/08/2017,839.51,322232
220002,60702,M66000349RG,POWER WHEELSET B5005  (ROT),3,06/11/2017,780.33,0
220020,60320,M66000184R,POWER SANDER WHEELSET B5005  (ROT),3,06/11/2017,780.64,6025
221120,60970,B6053.50,POWERED WHEELSET HVP A/B/C (ROT),2,06/11/2017,860.51,6194
221120,60970,B2431.26,POWERED WHEELSET HVP A/B/C (ROT),3,06/11/2017,860,6194
221127,60377,M66040198,TRAILING WHEELSET HVP A/B/C (ROT),1,06/11/2017,860.58,5057
221136,60786,B1722.25,POWERED WHEELSET HVP A/B/C (ROT),3,06/11/2017,860.48,4456
221104,60754,B6053.48,POWERED WHEELSET HVP A/B/C (ROT),3,24/07/2017,851.2,1232837
221125,60375,B5373.49,POWERED WHEELSET HVP A/B/C (ROT),3,07/02/2017,809.19,1022674
221105,60755,B8314.8,POWERED WHEELSET HVP A/B/C (ROT),3,22/09/2017,860.39,1068837
221121,60771,B7635.7,POWERED WHEELSET HVP A/B/C (ROT),2,22/09/2017,860.62,37249
221121,60771,F9686.11,POWERED WHEELSET HVP A/B/C (ROT),3,22/09/2017,860.48,37249
221132,60382,B2431.72,POWERED WHEELSET HVP A/B/C (ROT),2,22/09/2017,860.62,39632
221132,60382,B3144.14,POWERED WHEELSET HVP A/B/C (ROT),3,22/09/2017,860.23,38826
221135,60485,M66040028,TRAILING WHEELSET HVP A/B/C (ROT),4,22/09/2017,860.44,33616
221139,60389,M66040120,TRAILING WHEELSET HVP A/B/C (ROT),1,22/09/2017,860.45,39474
221135,60985,B8314.7,POWERED WHEELSET HVP A/B/C (ROT),3,13/05/2017,851.05,357509
221107,60457,B4543.16,POWERED WHEELSET HVP A/B/C (ROT),2,04/06/2017,821,938189
220014,60214,E9379.74,TRAILING WHEELSET B5005 A/B (ROT),4,04/09/2017,780.68,38749
220032,60432,M66000193,POWER WHEELSET B5005  (ROT),2,04/09/2017,780.53,50109
221121,60471,B1722.48,POWERED WHEELSET HVP A/B/C (ROT),2,04/09/2017,860.35,48001
221132,60882,B8314.15,POWERED WHEELSET HVP A/B/C (ROT),3,04/09/2017,860.7,50384
221128,60378,B3857.8,POWERED WHEELSET HVP A/B/C (ROT),2,05/06/2017,847.28,538208
220023,60223,M66000348RG,POWER WHEELSET B5005  (ROT),3,18/10/2017,780.56,19311
221139,60789,F9686.9,POWERED WHEELSET HVP A/B/C (ROT),2,18/10/2017,860.56,20574
220026,60426,M66060067,TRAILING LGUARDWHEELSET B5005  (ROT),1,12/06/2017,780.5,117082
220030,60230,M66060240G,TRAILING WHEELSET B5005 A/B (ROT),4,12/06/2017,780.57,60975
221105,60855,B2431.20,POWERED WHEELSET HVP A/B/C (ROT),2,12/06/2017,860.64,119722
221105,60855,B6053.15,POWERED WHEELSET HVP A/B/C (ROT),3,12/06/2017,860.32,119722
221129,60979,B7650.43,TRAILING WHEELSET HVP A/B/C (ROT),1,12/06/2017,860.52,106222
221131,60881,B6651.24,POWERED WHEELSET HVP A/B/C (ROT),2,12/06/2017,860.38,108401
220004,60204,M66000142R,POWER WHEELSET B5005  (ROT),2,10/04/2017,780.43,169397
220004,60204,M66000155R,POWER WHEELSET B5005  (ROT),3,10/04/2017,780.44,169397
220008,60408,M66000307RG,POWER SANDER WHEELSET B5005  (ROT),3,10/04/2017,780.52,156333
220011,60211,M66060236G,TRAILING WHEELSET B5005 A/B (ROT),4,10/04/2017,780.55,164286
220017,60317,M66060125,TRAILING WHEELSET B5005 A/B (ROT),4,10/04/2017,780.59,154467
220023,60423,E9709.40,TRAILING LGUARDWHEELSET B5005  (ROT),1,10/04/2017,780.5,156043
221116,60366,B3857.14,POWERED WHEELSET HVP A/B/C (ROT),2,10/04/2017,860.7,1243889
221124,60974,B5373.4,POWERED WHEELSET HVP A/B/C (ROT),3,10/04/2017,860.49,160898
221123,60773,B6651.63,POWERED WHEELSET HVP A/B/C (ROT),3,03/01/2017,827.63,1386602
221104,60854,B3857.30,POWERED WHEELSET HVP A/B/C (ROT),3,14/10/2017,841.18,711377
221122,60872,B3144.42,POWERED WHEELSET HVP A/B/C (ROT),3,10/02/2017,815,1124715
221139,60889,B6651.80,POWERED WHEELSET HVP A/B/C (ROT),3,22/12/2016,830.86,1301196
221103,60953,B2431.16,POWERED WHEELSET HVP A/B/C (ROT),2,28/05/2017,838.5,174688
221114,60964,B5373.5,POWERED WHEELSET HVP A/B/C (ROT),3,24/04/2017,847.47,425689
221109,60459,B3144.8,POWERED WHEELSET HVP A/B/C (ROT),2,05/10/2016,817.39,1132829
221115,60965,M66020018,POWERED WHEELSET HVP A/B/C (ROT),2,29/05/2017,852.2,364310
221116,60766,B2431.36,POWERED WHEELSET HVP A/B/C (ROT),2,18/06/2017,836.33,338776
221106,60856,M66020019,POWERED WHEELSET HVP A/B/C (ROT),3,17/04/2017,847.78,370235
221108,60958,B3857.11,POWERED WHEELSET HVP A/B/C (ROT),2,14/05/2017,850.78,497909
220014,60314,M66000310RG,POWER WHEELSET B5005  (ROT),2,28/11/2016,780.1,239974
221139,60989,B6651.49,POWERED WHEELSET HVP A/B/C (ROT),3,28/11/2016,860,260824
221105,60355,B3857.22,POWERED WHEELSET HVP A/B/C (ROT),3,06/08/2017,821,1009315
221112,60362,M66020113,POWERED WHEELSET HVP A/B/C (ROT),2,17/11/2017,851.5,219913
221101,60351,B5373.48,POWERED WHEELSET HVP A/B/C (ROT),2,03/09/2017,838,607369
221113,60963,B3857.37,POWERED WHEELSET HVP A/B/C (ROT),2,17/01/2017,860.61,941835
221113,60963,B8314.13,POWERED WHEELSET HVP A/B/C (ROT),3,17/01/2017,860.63,911365
221125,60375,M66020068,POWERED WHEELSET HVP A/B/C (ROT),2,02/07/2017,809.39,1185909
220008,60408,M66000028,POWER WHEELSET B5005  (ROT),2,24/04/2017,780.62,156333
221115,60765,M66040124,TRAILING WHEELSET HVP A/B/C (ROT),4,24/04/2017,860.48,164119
221115,60865,M66040113,TRAILING WHEELSET HVP A/B/C (ROT),1,24/04/2017,860.57,164119
221126,60376,B2431.4,POWERED WHEELSET HVP A/B/C (ROT),2,24/04/2017,860.48,1239217
221126,60376,M66020024,POWERED WHEELSET HVP A/B/C (ROT),3,24/04/2017,860.56,151176
221140,60490,M66020120,POWERED WHEELSET HVP A/B/C (ROT),3,24/04/2017,860.76,140206
221142,60792,M66020117,POWERED WHEELSET HVP A/B/C (ROT),2,24/04/2017,860.71,155910
221142,60792,B6053.55,POWERED WHEELSET HVP A/B/C (ROT),3,24/04/2017,860.62,952149
221144,60794,B2431.54,POWERED WHEELSET HVP A/B/C (ROT),2,11/06/2016,819.12,1000991
221113,60463,B7635.22,POWERED WHEELSET HVP A/B/C (ROT),3,05/03/2017,852.41,497525
221124,60774,B6651.30,POWERED WHEELSET HVP A/B/C (ROT),2,08/10/2016,841.24,750009
221123,60873,M66020107,POWERED WHEELSET HVP A/B/C (ROT),2,09/09/2016,860.77,334616
220006,60206,M66060249G,TRAILING WHEELSET B5005 A/B (ROT),1,09/10/2017,780.38,23779
220006,60206,E9708.17,TRAILING LGUARDWHEELSET B5005  (ROT),4,09/10/2017,780.43,23779
220006,60706,M66000040,POWER WHEELSET B5005  (ROT),2,09/10/2017,780.33,24735
220028,60428,M66060094,TRAILING LGUARDWHEELSET B5005  (ROT),1,09/10/2017,780.41,25265
221119,60369,M66020124,POWERED WHEELSET HVP A/B/C (ROT),3,09/10/2017,860.68,21486
221140,60790,B3857.33,POWERED WHEELSET HVP A/B/C (ROT),2,09/10/2017,860.7,538343
221140,60790,B7635.15,POWERED WHEELSET HVP A/B/C (ROT),3,09/10/2017,860.65,1079428
221103,60853,B5373.32,POWERED WHEELSET HVP A/B/C (ROT),2,27/08/2017,853.32,1183549
221117,60367,M66020112,POWERED WHEELSET HVP A/B/C (ROT),2,13/03/2017,860.56,200628
221118,60868,M66020091,POWERED WHEELSET HVP A/B/C (ROT),3,25/06/2017,842.27,607111
221110,60760,M66020009,POWERED WHEELSET HVP A/B/C (ROT),2,19/03/2017,847,610582
221119,60969,B4543.10,POWERED WHEELSET HVP A/B/C (ROT),2,03/11/2017,833.79,1259675
221132,60982,B2431.45,POWERED WHEELSET HVP A/B/C (ROT),2,03/07/2016,834.94,1067305
221139,60489,B6053.63,POWERED WHEELSET HVP A/B/C (ROT),3,12/03/2017,830.08,631323
221116,60766,B2431.33,POWERED WHEELSET HVP A/B/C (ROT),3,18/06/2017,836.38,338776
220002,60702,M66000330RG,POWER WHEELSET B5005  (ROT),2,13/11/2017,780.55,668852
220028,60228,M66000251R,POWER WHEELSET B5005  (ROT),2,13/11/2017,780.36,906828
221138,60488,M66040093,TRAILING WHEELSET HVP A/B/C (ROT),4,13/11/2017,860.25,0
221111,60461,B2431.52,POWERED WHEELSET HVP A/B/C (ROT),3,31/07/2017,825.93,1011581
221127,60977,B7635.9,POWERED WHEELSET HVP A/B/C (ROT),2,21/07/2017,838.2,656298
220009,60709,M66060245G,TRAILING WHEELSET B5005 A/B (ROT),1,11/09/2017,780.62,47961
220013,60413,M66060246G,TRAILING LGUARDWHEELSET B5005  (ROT),1,11/09/2017,780.53,12779
220015,60215,M66000187R,POWER WHEELSET B5005  (ROT),2,11/09/2017,780.66,51571
220015,60215,M66000188R,POWER WHEELSET B5005  (ROT),3,11/09/2017,780.65,51571
220015,60315,M66000344RG,POWER SANDER WHEELSET B5005  (ROT),3,11/09/2017,780.33,51571
221117,60867,B5373.30,POWERED WHEELSET HVP A/B/C (ROT),2,11/09/2017,860.48,53437
221134,60784,M66020093,POWERED WHEELSET HVP A/B/C (ROT),3,24/10/2017,821.75,549391
220009,60409,M66000347RG,POWER SANDER WHEELSET B5005  (ROT),3,16/10/2017,780.59,17161
221124,60474,B5373.15,POWERED WHEELSET HVP A/B/C (ROT),2,16/10/2017,860.53,22268
221124,60474,B3144.1,POWERED WHEELSET HVP A/B/C (ROT),3,16/10/2017,860.57,22268
221135,60885,B2431.14,POWERED WHEELSET HVP A/B/C (ROT),2,16/10/2017,860.6,20011
221135,60885,M66020123,POWERED WHEELSET HVP A/B/C (ROT),3,16/10/2017,860.52,20011
221114,60964,B4543.25,POWERED WHEELSET HVP A/B/C (ROT),2,24/04/2017,849.68,425689
221127,60777,M66020023,POWERED WHEELSET HVP A/B/C (ROT),2,09/06/2017,851.36,369803
221126,60476,B2431.11,POWERED WHEELSET HVP A/B/C (ROT),3,14/10/2017,802.8,1140531
221129,60479,B2431.2,POWERED WHEELSET HVP A/B/C (ROT),2,13/06/2017,821.31,756649
221128,60978,B2431.1,POWERED WHEELSET HVP A/B/C (ROT),2,28/05/2017,810.76,1309198
220006,60706,M66000003,POWER WHEELSET B5005  (ROT),3,29/09/2017,780.57,28788
220026,60726,M66060215G,TRAILING WHEELSET B5005 A/B (ROT),4,29/09/2017,780.6,36575
221128,60478,B6651.76,POWERED WHEELSET HVP A/B/C (ROT),2,29/09/2017,860.55,37591
221128,60478,B3857.47,POWERED WHEELSET HVP A/B/C (ROT),3,29/09/2017,860.56,37591
221129,60879,B7635.1,POWERED WHEELSET HVP A/B/C (ROT),2,29/09/2017,860.43,29933
221112,60762,B6651.1,POWERED WHEELSET HVP A/B/C (ROT),3,26/03/2017,825,1172174
221101,60751,B3144.9,POWERED WHEELSET HVP A/B/C (ROT),2,12/02/2017,822.55,1232466
221139,60989,B1722.2,POWERED WHEELSET HVP A/B/C (ROT),2,30/11/2016,860.25,260824
221138,60988,B6651.39,POWERED WHEELSET HVP A/B/C (ROT),3,11/05/2017,833.57,1008587
221101,60951,B6651.69,POWERED WHEELSET HVP A/B/C (ROT),2,11/08/2017,860.42,59965
221101,60951,B6053.49,POWERED WHEELSET HVP A/B/C (ROT),3,11/08/2017,860.68,59965
221107,60857,B4568.30,TRAILING WHEELSET HVP A/B/C (ROT),4,11/08/2017,860.62,52458
221111,60361,B4568.31,TRAILING WHEELSET HVP A/B/C (ROT),1,11/08/2017,860.4,78375
221121,60371,B4543.9,POWERED WHEELSET HVP A/B/C (ROT),2,11/08/2017,860.67,72460
221121,60371,M66020042,POWERED WHEELSET HVP A/B/C (ROT),3,11/08/2017,860.17,72460
221112,60762,B6053.54,POWERED WHEELSET HVP A/B/C (ROT),2,26/03/2017,827,1172174
221103,60853,B8314.20,POWERED WHEELSET HVP A/B/C (ROT),3,27/08/2017,853.76,1287418
221104,60954,B6651.9,POWERED WHEELSET HVP A/B/C (ROT),2,24/07/2017,853.43,847882
221113,60863,B6651.8,POWERED WHEELSET HVP A/B/C (ROT),2,27/12/2016,810.13,1019445
221116,60466,B7635.19,POWERED WHEELSET HVP A/B/C (ROT),2,19/03/2017,849.6,332290
221105,60955,M66020097,POWERED WHEELSET HVP A/B/C (ROT),3,12/11/2017,846.41,520903
221117,60367,M66020071,POWERED WHEELSET HVP A/B/C (ROT),3,13/03/2017,860.95,1195034
221112,60462,B6651.19,POWERED WHEELSET HVP A/B/C (ROT),2,16/08/2017,839.34,614399
221122,60472,M66020053,POWERED WHEELSET HVP A/B/C (ROT),3,05/07/2017,848.95,420661
220022,60322,M66000241,POWER SANDER WHEELSET B5005  (ROT),3,27/03/2017,780.47,1026037
221125,60475,F9686.8,POWERED WHEELSET HVP A/B/C (ROT),3,27/03/2017,860.43,172632
221104,60454,B3857.6,POWERED WHEELSET HVP A/B/C (ROT),3,14/10/2017,841.22,506337
221125,60775,M66020079,POWERED WHEELSET HVP A/B/C (ROT),3,22/10/2017,835.97,962703
