unit,vehicle,serial_no,description,axle_position,measure_date,pan_size,since
220018,60318,E9550.38,POWER WHEELSET B5005  (ROT),2,20/10/2017,761.35,1105940
220011,60211,M66000121,POWER WHEELSET B5005  (ROT),2,18/05/2017,769.68,323720
220013,60713,M66000116,POWER WHEELSET B5005  (ROT),3,21/11/2016,768.73,534809
220031,60731,M66000172R,POWER WHEELSET B5005  (ROT),3,27/10/2017,762.1,358842
220002,60202,M66000313RG,POWER WHEELSET B5005  (ROT),2,30/01/2017,780.47,195544
220018,60718,M66000141R,POWER WHEELSET B5005  (ROT),3,30/01/2017,780.45,213336
220020,60320,M66000196R,POWER WHEELSET B5005  (ROT),2,18/09/2017,780.64,38249
220034,60434,M66000038,POWER WHEELSET B5005  (ROT),2,18/09/2017,780.65,27851
220009,60209,M66000100,POWER WHEELSET B5005  (ROT),3,17/09/2017,771.91,269696
220017,60417,M66000077,POWER WHEELSET B5005  (ROT),2,12/07/2017,750.03,790369
220030,60730,M66000302RG,POWER WHEELSET B5005  (ROT),3,27/08/2017,761.34,335425
220017,60217,E9671.07,POWER WHEELSET B5005  (ROT),3,15/02/2017,731.96,983751
220033,60433,M66000059,POWER WHEELSET B5005  (ROT),2,08/05/2017,769.14,699645
220023,60723,M66000126,POWER WHEELSET B5005  (ROT),3,15/07/2017,770.22,370846
220025,60225,M66000014,POWER WHEELSET B5005  (ROT),3,09/05/2017,766.87,365247
220030,60230,M66000045,POWER WHEELSET B5005  (ROT),2,03/04/2017,746.58,640698
220034,60234,M66000291RG,POWER WHEELSET B5005  (ROT),2,05/04/2017,763.62,438718
220021,60721,M66000335RG,POWER WHEELSET B5005  (ROT),3,13/07/2017,770.14,97939
220024,60324,M66000135R,POWER WHEELSET B5005  (ROT),2,04/05/2017,763,324137
220028,60428,M66000223R,POWER WHEELSET B5005  (ROT),2,14/09/2017,769.93,1076541
220019,60319,M66000276,POWER WHEELSET B5005  (ROT),2,01/03/2017,737.71,653761
220031,60731,E9550.50,POWER WHEELSET B5005  (ROT),2,27/10/2017,760.98,1092801
220031,60431,M66000104,POWER WHEELSET B5005  (ROT),2,23/04/2017,768.47,358842
220025,60225,M66000032,POWER WHEELSET B5005  (ROT),2,09/05/2017,771.82,188932
220027,60227,M66000318RG,POWER WHEELSET B5005  (ROT),3,20/10/2017,769.67,167196
220023,60323,M66000274,POWER SANDER WHEELSET B5005  (ROT),3,02/09/2017,746.89,646117
220008,60308,M66000296RG,POWER WHEELSET B5005  (ROT),2,06/09/2017,757.21,406405
220020,60720,M66000284RG,POWER WHEELSET B5005  (ROT),3,09/04/2017,735.58,541981
220015,60715,M66000243,POWER WHEELSET B5005  (ROT),2,24/02/2017,730.83,999487
220032,60332,M66000267,POWER WHEELSET B5005  (ROT),2,05/09/2017,746.81,743637
220009,60709,E9671.45,POWER WHEELSET B5005  (ROT),3,25/04/2017,772.13,1162057
220019,60219,M66000137R,POWER WHEELSET B5005  (ROT),3,09/12/2016,780.8,259023
220023,60323,M66000275,POWER WHEELSET B5005  (ROT),2,02/09/2017,750.92,646227
220013,60213,E9670.06,POWER WHEELSET B5005  (ROT),3,02/06/2017,767.65,489814
220010,60710,M66000255,POWER WHEELSET B5005  (ROT),3,24/10/2017,731.87,890219
220015,60715,M66000237,POWER WHEELSET B5005  (ROT),3,24/02/2017,730.55,999487
220033,60733,M66000091,POWER WHEELSET B5005  (ROT),2,30/10/2017,768.95,258886
220005,60205,M66000280,POWER WHEELSET B5005  (ROT),2,21/05/2017,768.75,591150
220005,60705,M66000229R,POWER WHEELSET B5005  (ROT),3,21/05/2017,770.33,1064342
220023,60423,M66000084,POWER WHEELSET B5005  (ROT),2,06/10/2017,771.08,299353
220022,60222,M66000047,POWER WHEELSET B5005  (ROT),2,24/08/2016,759.08,868341
220020,60420,M66000315RG,POWER WHEELSET B5005  (ROT),2,02/11/2017,771.16,176294
220032,60732,M66000203,POWER WHEELSET B5005  (ROT),3,09/03/2017,769.6,1171908
220027,60727,M66000329RG,POWER WHEELSET B5005  (ROT),2,21/10/2017,769.1,107363
220004,60304,M66000264,POWER SANDER WHEELSET B5005  (ROT),3,23/04/2017,733.93,673125
220029,60329,M66000154R,POWER WHEELSET B5005  (ROT),2,29/10/2017,768.19,1159978
220010,60710,M66000256,POWER WHEELSET B5005  (ROT),2,24/10/2017,733.5,890219
220022,60222,M66000257,POWER WHEELSET B5005  (ROT),3,24/08/2016,757.44,868341
220006,60406,M66000122,POWER WHEELSET B5005  (ROT),2,14/11/2017,749.45,349696
220009,60709,M66000143R,POWER WHEELSET B5005  (ROT),2,25/04/2017,771.72,303668
220002,60302,M66000242,POWER WHEELSET B5005  (ROT),2,02/06/2017,780.48,994383
220016,60316,M66000171R,POWER WHEELSET B5005  (ROT),2,14/03/2017,780.71,188860
220009,60309,M66000285,POWER WHEELSET B5005  (ROT),2,28/06/2017,745.86,500681
220029,60429,M66000031,POWER WHEELSET B5005  (ROT),2,23/05/2017,745.02,708129
220016,60416,M66000119,POWER WHEELSET B5005  (ROT),2,02/04/2017,762.76,265226
220025,60325,M66000230,POWER WHEELSET B5005  (ROT),2,02/06/2017,730.02,1079042
220034,60334,M66000265,POWER WHEELSET B5005  (ROT),2,16/04/2017,737.78,725700
220018,60318,E9550.24,POWER SANDER WHEELSET B5005  (ROT),3,20/10/2017,767.07,1111518
220030,60730,M66000279,POWER WHEELSET B5005  (ROT),2,27/08/2017,756.25,578912
220028,60728,M66000273,POWER WHEELSET B5005  (ROT),3,13/12/2016,759.79,672834
220012,60712,M66000138,POWER WHEELSET B5005  (ROT),3,07/08/2017,768.15,293259
220026,60226,M66000194,POWER WHEELSET B5005  (ROT),2,30/09/2016,764.51,1172048
220027,60227,M66000319RG,POWER WHEELSET B5005  (ROT),2,20/10/2017,769.19,167196
220005,60305,M66000268,POWER WHEELSET B5005  (ROT),2,16/02/2017,745.98,735179
220029,60729,M66000129,POWER WHEELSET B5005  (ROT),2,28/07/2017,758.21,324110
220024,60424,M66000245,POWER WHEELSET B5005  (ROT),2,16/03/2017,747.76,919385
220006,60206,M66000024,POWER WHEELSET B5005  (ROT),2,09/08/2017,754.98,1187985
220014,60714,M66000218,POWER WHEELSET B5005  (ROT),3,27/04/2017,730.24,1143499
220020,60720,M66000044,POWER WHEELSET B5005  (ROT),2,18/11/2016,734.87,894954
220010,60410,M66000158R,POWER WHEELSET B5005  (ROT),2,24/10/2017,769.34,192695
